,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
34986,2022-02-02 07:11:00,A2,澎湖縣馬公市縣204線 2公里800.0公尺處西側向外側,同向通行中,未注意車前狀態,死亡0;受傷2,119.604661,23.55652,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-02-02,07:11:00,0,2,澎湖縣
35323,2022-02-02 16:20:00,A2,澎湖縣白沙鄉縣203線 16.7公里東側,撞護欄(樁),未注意車前狀態,死亡0;受傷7,119.585013,23.667114,1: 小客車 (租賃車); 2:  (); 3: 人 (乘客); 4: 人 (乘客); 5: 人 (乘客); 6: 人 (乘客); 7: 人 (乘客); 8: 人 (乘客),,,租賃車,乘客,,,,,,,,,,,2022-02-02,16:20:00,0,7,澎湖縣
35387,2022-02-02 17:54:00,A2,澎湖縣馬公市烏崁里縣204線道路口 / 澎湖縣馬公市烏崁里澎25號道路口,側撞,左轉彎未依規定,死亡0;受傷1,119.619803,23.548615,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-02-02,17:54:00,0,1,澎湖縣
35920,2022-02-03 17:15:00,A2,澎湖縣馬公市縣203線 4公里500.0公尺處北側向外側,側撞,迴轉未依規定,死亡0;受傷2,119.599817,23.571945,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-02-03,17:15:00,0,2,澎湖縣
36814,2022-02-04 21:13:00,A2,澎湖縣馬公市縣道203線與都市計劃20之3號道岔路口附近,同向擦撞,未保持行車安全間隔,死亡0;受傷1,119.58999,23.56908,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-02-04,21:13:00,0,1,澎湖縣
36965,2022-02-05 09:33:00,A2,澎湖縣馬公市陽明里中華路口 / 澎湖縣馬公市陽明里同和路口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷1,119.576775,23.572324,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-02-05,09:33:00,0,1,澎湖縣
37151,2022-02-05 13:04:00,A2,澎湖縣馬公市石泉里65號前道路,追撞,未保持行車安全距離,死亡0;受傷1,119.592103,23.559507,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-02-05,13:04:00,0,1,澎湖縣
37817,2022-02-06 11:57:00,A2,澎湖縣馬公市縣201線 1公里600.0公尺處南側向外側,側撞,未依規定讓車,死亡0;受傷3,119.604535,23.539241,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-02-06,11:57:00,0,3,澎湖縣
37936,2022-02-06 14:05:00,A2,澎湖縣馬公市烏崁里20之1號前岔路口附近,側撞,未依規定讓車,死亡0;受傷3,119.620903,23.547722,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-02-06,14:05:00,0,3,澎湖縣
38063,2022-02-06 15:59:00,A2,澎湖縣馬公市陽明里新生路口 / 澎湖縣馬公市陽明里北辰街口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷2,119.571925,23.569332,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-02-06,15:59:00,0,2,澎湖縣
38300,2022-02-06 20:47:00,A2,澎湖縣馬公市嵵裡里1之9號前道路,對向擦撞,逆向行駛,死亡0;受傷3,119.568189,23.525736,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-02-06,20:47:00,0,3,澎湖縣
38431,2022-02-07 07:07:00,A2,澎湖縣馬公市陽明里陽明路口 / 澎湖縣馬公市陽明里永安街口,側撞,迴轉未依規定,死亡0;受傷2,119.573407,23.572924,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-02-07,07:07:00,0,2,澎湖縣
38883,2022-02-07 13:56:00,A2,澎湖縣馬公市西文里縣203線道路口 / 澎湖縣馬公市西文里澎22號道路口,對向擦撞,逆向行駛,死亡0;受傷1,119.593886,23.568812,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-02-07,13:56:00,0,1,澎湖縣
39065,2022-02-07 16:51:00,A2,澎湖縣馬公市陽明里陽明路口 / 澎湖縣馬公市陽明里陽明路口,側撞,左轉彎未依規定,死亡0;受傷1,119.575457,23.572635,1: 機車 (普通重型); 2: 小客車 (自用); 3: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-02-07,16:51:00,0,1,澎湖縣
40079,2022-02-08 13:44:00,A2,澎湖縣馬公市光榮里文光路口 / 澎湖縣馬公市光榮里東一橫巷口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.571492,23.575041,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-02-08,13:44:00,0,1,澎湖縣
